"","RPY_3YR_RT","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT","NPT4_PUB","C100_4","PAR_ED_PCT_1STGEN","CDR3"
"4116",0.9323882225,0.1972318339,0.593318,14200,0.727,0.6208,NA,25590,NA,0.3624,0.3146341463,0.024
"5348",NA,NA,0.94544909090909,NA,NA,0.9583,NA,7630,NA,0,NA,NA
"2922",0.6132596685,0.1647058824,0.32554790697674,7600,0.585,0.2946,NA,18353,NA,0.125,0.3777777778,0.109
"758",0.896170728,0.1463359892,0.8702280611449,10800,0.731,0.8751,14703,28591,11778,0.672,0.3174794785,0.03
"6965",0.4019607843,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4202898551,0.29
"2127",0.7321428571,0.1111111111,NA,NA,NA,NA,NA,NA,NA,NA,0.5140186916,0.148
"4435",NA,NA,NA,NA,0.481,NA,NA,NA,4242,NA,0.5494505495,NA
"829",0.3347865034,0.0733325573,NA,7900,0.659,0.6667,NA,13663,NA,0.6667,0.5099347495,0.132
"6309",0.5045978689,0.0744742427,NA,4100,0.457,NA,NA,NA,NA,NA,0.5595880333,0.175
"2387",0.3184844384,0.0558375635,0.32039708737864,3300,0.399,0.2826,NA,15653,NA,NA,0.5538171691,0.213
"5875",0.4722961945,0.0624194987,NA,4800,0.322,NA,NA,NA,NA,NA,0.5118692592,0.141
"2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1641",0.977037037,0.1283112583,0.87725316122233,26200,0.916,0.8816,NA,42511,NA,0.827,0.1860465116,0.011
"3877",0.9040553907,0.1826371826,0.57195136612021,11500,0.712,0.5766,NA,34704,NA,0.4991,0.2775862069,0.044
"2018",0.8063683305,0.1847619048,0.4807,11200,0.675,0.5167,NA,21830,NA,0.3667,0.4469736161,0.084
"7692",0.4586824769,0.0731064995,NA,NA,NA,NA,NA,NA,NA,NA,0.5214854804,0.116
"3889",0.7440305635,0.1993670886,0.32839406779661,12200,0.706,0.3291,NA,29150,NA,0.2265,0.4683098592,0.088
"4220",0.5111926331,0.048524343,0.36115770065075,2700,0.226,0.3638,NA,4852,NA,0.1324,0.3758489217,0.128
"969",0.7800081934,0.1655806182,0.36862480586712,6700,0.587,0.3571,18485,19493,15897,0.121,0.3573595004,0.083
"1922",0.4798596277,0.0777815934,NA,5300,0.53,NA,17967,5350,14188,NA,0.3987813135,0.215
"5381",0.4089440994,0.0815370778,NA,6400,0.578,NA,NA,18048,NA,NA,0.4972857507,0.188
"7204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751",0.3352553542,0.0740740741,0.39223247863247,4300,0.403,0.3886,NA,14776,NA,0.1676,0.4467532468,0.173
"5718",0.8300395257,0.0893155259,0.74095751295336,NA,0.836,0.7571,NA,NA,NA,NA,0.3996120272,0.019
"7101",0.4576654115,0.0562410035,NA,NA,NA,NA,NA,13503,NA,NA,0.5221782448,0.206
"6131",0.5546875,0.1288088643,NA,4700,0.48,0.5,NA,13500,NA,NA,0.4373040752,0.205
"2309",0.7908045977,0.1522248244,0.52832704402515,7000,0.613,0.5,NA,31095,NA,0.3924,0.4735294118,0.046
"4864",0.3354708684,0.060199005,NA,4800,0.562,NA,NA,13995,NA,NA,0.5100738751,0.181
"7137",NA,0.0652173913,NA,NA,NA,NA,7407,4608,3444,NA,0.505571747,0.218
"7139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5263157895,NA
"2545",0.6671204901,0.1264280274,NA,6200,0.486,NA,13736,9184,8773,NA,0.4020356234,0.141
"1965",0.9190919674,0.1816355811,0.568243594753,13800,0.739,0.5716,19725,14250,17620,0.3164,0.2363523573,0.041
