"","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT"
"908",0.1541666667,0.61204536647009,9200,0.668,0.6126,18621,27308
"3593",0.1875,0.54861729729729,9800,0.634,0.5795,13560.7976040353,28730
"5949",0.0815370778,0.26668666666666,6400,0.578,0.2609,13560.7976040353,18048
"5309",0.0225251926,0.45653736263736,3200,0.303,0.486,13560.7976040353,14940
"943",0.1615120275,0.2241540229885,7200,0.571,0.1927,13560.7976040353,15750
"3995",0.0781704782,0.32,4000,0.508,0.32,10956,12960
"2971",0.1833471188,0.66882520944402,8800,0.614,0.672,23530,19566
"2078",0.1290939517,0.43715895439377,10600,0.693,0.4165,16457,23142
"1421",0.0974714519,6399.64135021097,4800,0.405,0.479596262833676,10155,12456
"4280",0.032345345,0.49432222222222,3700,0.416,0.4989,13560.7976040353,12644
"3321",0.1578042283,0.66722039986445,11600,0.718,0.6462,25453,21820
"3521",0.1966527197,0.46230150891632,8500,0.671,0.4422,16250,10042
"47",0.1558109834,0.6765656779661,9700,0.724,0.661,13560.7976040353,27324
"1762",0.1665257819,0.50939429000751,10300,0.712,0.5314,18173,14637
"1511",0.1102564103,0.32894736842105,17200,0.799,0.3068,13560.7976040353,11144
"4083",0.1378091873,0.32081538461538,4300,0.411,0.3042,9510,10416
"2924",0.2037325039,0.59053483146067,10200,0.617,0.6312,13560.7976040353,33140
"1017",0.0489888921,6399.64135021097,4200,0.411,0.479596262833676,11977,7891
"3536",0.0742857143,0.31884347826086,13200,0.767,0.25,13560.7976040353,20550
"2117",0.1287726358,0.94513969996341,12600,0.82,0.9496,13560.7976040353,46467
"2432",0.0727291864,6399.64135021097,4700,0.465,0.479596262833676,13095,7550
"1594",0.1423220974,0.83077246943765,17200,0.835,0.8189,13560.7976040353,44090
"694",0.1877133106,0.44565217391304,11100,0.662,0.4667,13560.7976040353,22500
"3148",0.1263782867,6399.64135021097,4000,0.415,0.479596262833676,12764,5355
"2332",0.1173962774,6399.64135021097,6000,0.557,0.479596262833676,11679,4104
"5247",0.032345345,0.69404342105263,3700,0.416,0.7259,13560.7976040353,12260
"2416",0.1678321678,0.83254363207547,4100,0.604,0.839,13560.7976040353,41400
"3460",0.135935397,0.45870256410256,7200,0.494,0.4934,13560.7976040353,25536
"1629",0.1512820513,0.94953947368421,9200,0.626,0.9406,13560.7976040353,48526
"2805",0.1532779317,0.38591213592233,11500,0.681,0.399,12307,6225
"1365",0.1504424779,0.60771045728465,11200,0.726,0.6,21126,25731
"1624",0.1455273698,0.6982438150289,11800,0.72,0.6784,13560.7976040353,38350
"2011",0.0815370778,0.3415403292181,6400,0.578,0.3387,13560.7976040353,18048
"1030",0.0534591195,0.22371333333333,4000,0.349,0.1,13560.7976040353,19545
"4470",0.0815370778,0.23672608695652,6400,0.578,0.2479,13560.7976040353,18048
"3303",0.1571238349,0.85798397212543,11400,0.783,0.8576,13560.7976040353,44145
"4324",0.1250603573,6399.64135021097,4100,0.455,0.479596262833676,9665,12456
"2792",0.1956730769,0.54639700040535,8900,0.623,0.5829,17548,16698
"2071",0.1604503871,0.36909571332886,7100,0.55,0.3673,10691,10450
"899",0.0858097415,0.13113224043715,7600,0.611,0.0909,13560.7976040353,16360
"1878",0.1681145809,6399.64135021097,8700,0.637,0.479596262833676,15528,5004
"1015",0.0385245902,6399.64135021097,4400,0.369,0.479596262833676,12341,7891
"866",0.052559258,6399.64135021097,4100,0.343,0.479596262833676,6426,8751
"2032",0.1500493583,6399.64135021097,5200,0.443,0.479596262833676,9314,4488
"931",0.1935914553,0.48447512953367,8800,0.62,0.5049,13560.7976040353,21350
"2773",0.0870292887,6399.64135021097,3700,0.376,0.479596262833676,8277,7476
"236",0.1054723326,0.30795488346281,7500,0.615,0.3228,11369,17299
"566",0.079638273,6399.64135021097,3200,0.373,0.479596262833676,9313,6184
"555",0.0568245125,6399.64135021097,4000,0.489,0.479596262833676,9242,6810
"1013",0.1387347392,0.92780345754898,11900,0.822,0.9288,13560.7976040353,49380
"1295",0.1656976744,0.62333569553805,15500,0.74,0.6373,13560.7976040353,29700
"6790",0.0492898914,0.39998036363636,2600,0.303,0.3742,13560.7976040353,16968
"610",0.0562410035,6399.64135021097,6400,0.549,0,13560.7976040353,13071
"3788",0.113198402089198,0.3667,4300,0.308,0.3667,13560.7976040353,7764
"2593",0.1174168297,6399.64135021097,4600,0.404,0.479596262833676,13533,9774
"3064",0.1085137085,0.05039228295819,5900,0.587,0.0414,9125,7719
"619",0.1057330827,6399.64135021097,4800,0.564,0.479596262833676,13644,12693
"2784",0.0967127203,6399.64135021097,5200,0.406,0.479596262833676,6324,8540
"3519",0.0562410035,0.23335,6400,0.549,0.24,13560.7976040353,12675
"5937",0.0733325573,0.37332,7900,0.659,0.3148,13560.7976040353,18748
"3429",0.1326781327,0.797046009122,23000,0.899,0.7757,13560.7976040353,38574
"3703",0.1282051282,6399.64135021097,10400,0.757,0.479596262833676,16175,17608
"820",0.1497461929,0.6538722027972,8300,0.55,0.6584,13560.7976040353,40040
