"","CDR3","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4","MN_EARN_WNE_INC1_P6","C150_4_WHITE","PCT25_EARN_WNE_P6","NPT4_75UP_PUB","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP"
"7413",0.225,0.5088692224,27500,37600,0.1009533566,NA,0.512,NA,24000,NA,14000,NA,NA,NA
"5556",0.088,0.35,24400,32800,0.1464285714,NA,0.452,NA,20700,NA,14400,NA,NA,NA
"2708",0.307,0.4545454545,21700,29300,0.0737033667,8253,0.369,NA,19800,NA,9900,13017,NA,NA
"3275",0.022,0.2995780591,40000,49100,0.1875,NA,0.77,0.6987,33800,0.7649,26100,NA,0.74199171597633,0.72918213096559
"1125",0.122,0.4757281553,25800,36100,NA,6471,0.432,NA,22500,NA,12100,9577,NA,NA
"100",NA,0.5154185022,19600,26700,NA,NA,0.299,NA,16600,NA,7300,NA,NA,NA
"5429",0.16,0.6060762101,22400,29200,0.0324650812,NA,0.367,NA,NA,NA,10600,NA,NA,NA
"783",NA,0.5907928389,25700,36000,NA,6575,0.478,NA,NA,NA,13100,NA,NA,NA
"3386",0.03,NA,NA,NA,NA,NA,NA,0.8333,NA,0.8333,NA,NA,0.64516129032258,0.47725227272727
"4855",NA,0.6330254305,27400,36600,0.0462627309,1158,0.432,0,27000,0.1429,13200,4062,0.18507861111111,NA
"7522",0.171,0.563012489,31700,42200,0.0853232382,NA,0.563,NA,29200,NA,15100,NA,NA,NA
"3758",0.211,0.578262889,24000,32000,0.0843833524,6230,0.392,NA,22800,NA,11200,9637,NA,NA
"3672",0.079,0.4372427984,27400,40900,0.1095280499,NA,0.452,NA,25900,NA,12100,NA,NA,NA
"1315",0.087,0.45,22300,30900,NA,NA,0.4,NA,NA,NA,13000,NA,NA,NA
"5721",0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3440",0.022,0.2006615215,43100,56400,0.1547491996,NA,0.789,0.6385,38100,0.6856,27500,NA,0.6574,0.72653433628318
"3874",0.017,NA,24800,29800,0.1111111111,NA,0.336,0.4699,NA,0.6207,9400,NA,0.58393288590604,0.67948974358974
"1573",0.068,0.35,51000,68600,0.1225806452,NA,0.735,0.2051,NA,0.5,24600,NA,0.41978888888888,0.36283185840707
"1733",0.07,0.4163319946,44000,62000,0.1448763251,NA,0.737,0.5274,37300,0.8299,23600,NA,0.73498114754098,0.65315346820809
"4512",NA,0.6168505517,26300,36000,0.0599093264,NA,0.451,NA,23400,NA,11300,NA,NA,NA
"4354",0.17,0.4874431058,37100,51300,0.0858097415,NA,0.611,0.1176,26300,0.3333,17200,NA,0.10391818181818,NA
"584",0.01,0.3659793814,31100,42800,0.0631067961,NA,0.565,NA,26200,NA,14400,NA,NA,NA
"270",0.246,0.6605664488,22100,30700,0.0457113508,NA,0.339,NA,20500,NA,9600,NA,NA,NA
"4866",0.132,0.5099347495,35400,47400,0.0733325573,NA,0.659,0.1842,30800,0.3,20000,NA,0.24502516556291,0.27548775510204
"7029",NA,0.5026737968,NA,NA,0.0956937799,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4527",0.141,0.6498316498,21400,30100,0.05907173,NA,0.394,NA,20600,NA,11800,NA,NA,NA
"4245",0.109,0.2811111111,NA,NA,NA,6945,NA,0.0256,NA,NA,NA,9468,0.17758390041493,0.17769655172413
