"","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4"
"5454",0.4991134752,36100,49200,0.1446700508,14586,0.642,0.2705
"4749",0.6584038694,22300,30100,0.0486526946,9624.65620094192,0.402,0.326050843593251
"6448",0.5214854804,41600,54700,0.0731064995,9624.65620094192,0.697,0.326050843593251
"2947",0.578125,34200,48600,0.112368633963963,13506,0.623,0.326050843593251
"2865",0.2310606061,29000,42700,0.1775362319,9624.65620094192,0.52,0.6117
"4555",0.5546852335,24200,33400,0.0614472123,9624.65620094192,0.46,0.326050843593251
"6795",0.5019920319,19700,27900,0.1040955631,9624.65620094192,0.297,0.326050843593251
"2210",0.3797468354,21200,28300,0.1151832461,9624.65620094192,0.34,0.326050843593251
"1439",0.513562387,29900,39200,0.1607717042,9624.65620094192,0.563,0.2417
"6595",0.5394716354,22200,29800,0.0424497197,9624.65620094192,0.366,0.326050843593251
"1423",0.5033123028,24900,34600,0.0782042941,6652,0.448,0.326050843593251
"4116",0.3146341463,38200,50600,0.1972318339,9624.65620094192,0.727,0.3624
"2922",0.3777777778,32300,45700,0.1647058824,9624.65620094192,0.585,0.125
"758",0.3174794785,46300,57600,0.1463359892,11778,0.731,0.672
"829",0.5099347495,35400,47400,0.0733325573,9624.65620094192,0.659,0.6667
"6309",0.5595880333,26000,34000,0.0744742427,9624.65620094192,0.457,0.326050843593251
"2387",0.5538171691,23000,31600,0.0558375635,9624.65620094192,0.399,0.326050843593251
"5875",0.5118692592,20300,27900,0.0624194987,9624.65620094192,0.322,0.326050843593251
"1641",0.1860465116,59800,70900,0.1283112583,9624.65620094192,0.916,0.827
"3877",0.2775862069,38800,51200,0.1826371826,9624.65620094192,0.712,0.4991
"2018",0.4469736161,32100,39500,0.1847619048,9624.65620094192,0.675,0.3667
"3889",0.4683098592,39100,51200,0.1993670886,9624.65620094192,0.706,0.2265
"4220",0.3758489217,17800,23800,0.048524343,9624.65620094192,0.226,0.1324
"969",0.3573595004,32500,42000,0.1655806182,15897,0.587,0.121
"1922",0.3987813135,31300,41700,0.0777815934,14188,0.53,0.326050843593251
"5381",0.4972857507,33100,44700,0.0815370778,9624.65620094192,0.578,0.326050843593251
"751",0.4467532468,22600,31200,0.0740740741,9624.65620094192,0.403,0.1676
"5718",0.3996120272,48200,40187.6009768927,0.0893155259,9624.65620094192,0.836,0.326050843593251
"6131",0.4373040752,26700,35000,0.1288088643,9624.65620094192,0.48,0.326050843593251
"2309",0.4735294118,34100,44700,0.1522248244,9624.65620094192,0.613,0.3924
"4864",0.5100738751,30300,40400,0.060199005,9624.65620094192,0.562,0.326050843593251
"2545",0.4020356234,26700,35600,0.1264280274,8773,0.486,0.326050843593251
"1965",0.2363523573,35700,45000,0.1816355811,17620,0.739,0.3164
"1238",0.3802197802,31200,39600,0.2016293279,9624.65620094192,0.628,0.3986
"2411",0.5435992579,19200,25600,0.0545718433,9624.65620094192,0.277,0.326050843593251
"3816",0.4662068966,33500,45100,0.1283863369,9624.65620094192,0.62,0.209
"1927",0.2077028886,31100,38800,0.1778907243,14326,0.647,0.5362
"2595",0.380620985,29300,39400,0.1574728901,12149,0.507,0.1867
"7597",0.5449016627,35400,47400,0.0592234885,9624.65620094192,0.565,0.326050843593251
"4717",0.4125,40500,56100,0.1012024048,9624.65620094192,0.652,0.3662
"2914",0.4006309148,51200,61100,0.1988130564,9624.65620094192,0.851,0.3571
"4143",0.1878787879,36100,44600,0.2044134727,9624.65620094192,0.739,0.6309
"3208",0.6,35200,40187.6009768927,0.0574712644,9624.65620094192,0.633,0.326050843593251
"3380",0.2894736842,33400,43400,0.2040816327,9624.65620094192,0.648,0.4876
"2287",0.3611650485,49100,66300,0.1222744763,18205,0.798,0.2375
"6793",0.4927835052,18500,26500,0.1060735672,9624.65620094192,0.275,0.326050843593251
"3096",0.4316546763,20800,30600,0.0584795322,9624.65620094192,0.336,0.326050843593251
"1574",0.5457286432,30400,41500,0.1379003559,6849,0.546,0.326050843593251
"3198",0.5380530973,32700,42300,0.128959276,9624.65620094192,0.64,0.4224
"3431",0.4298986486,33700,46000,0.1314055637,9624.65620094192,0.631,0.326050843593251
"7569",0.5747126437,13900,19200,0.112368633963963,9624.65620094192,0.11,0.326050843593251
"5679",0.5488126649,25100,33600,0.0691144708,9624.65620094192,0.441,0.326050843593251
"7641",0.5214854804,41600,54700,0.0731064995,9624.65620094192,0.697,0.326050843593251
"811",0.2740619902,36100,45700,0.1659324523,9624.65620094192,0.634,0.4286
"1845",0.474137931,26800,36900,0.0665983607,4032,0.462,0.326050843593251
"3712",0.4972857507,33100,44700,0.0815370778,9624.65620094192,0.578,0.326050843593251
"2776",0.5223048327,22600,31400,0.1226415094,8142,0.41,0.326050843593251
"6958",0.4874431058,37100,51300,0.0858097415,9624.65620094192,0.611,0.326050843593251
"3901",0.3789473684,50200,60900,0.1596806387,9624.65620094192,0.845,0.2093
"2361",0.5739491437,23400,33800,0.0545870249,9624.65620094192,0.433,0.326050843593251
"2069",0.504867872,20500,27400,0.0672748005,9624.65620094192,0.329,0.326050843593251
"5860",0.5776997366,24600,34600,0.0629951691,9624.65620094192,0.465,0.326050843593251
"5226",0.4972857507,33100,44700,0.0815370778,9624.65620094192,0.578,0.326050843593251
"1228",0.1011938601,59900,74300,0.1147450111,9624.65620094192,0.864,0.9071
"463",0.4394904459,29100,42000,0.0747126437,9624.65620094192,0.54,0.326050843593251
"2837",0.5590251333,23000,32000,0.0609903382,9624.65620094192,0.425,0.326050843593251
"1258",0.3326693227,38100,50000,0.1914498141,9624.65620094192,0.723,0.4892
"2219",0.4117421335,32600,44000,0.1634214186,17162,0.608,0.326050843593251
