"","x"
"1297",0.099
"1298",0.097
"1299",0.104
"1300",0.311
"1301",0.095
"1302",0.266
"1303",0.229
"1304",0.154
"1305",0.271
"1306",0.181
"1307",0.093
"1308",0.129
"1309",0.098
"1310",0.11
"1311",0.126
"1312",0.181
"1313",0.306
"1314",0.328
"1315",0.089
"1316",0.204
"1317",0.198
"1318",0.059
"1319",0.024
"1320",0.294
"1321",0.139
"1322",0.119
"1323",0.368
"1324",0.121
"1325",0.022
"1326",0.022
"1327",0.354
"1328",0.229
"1329",0.212
"1330",0.209
"1331",0.056
"1332",0.382
"1333",0.166
"1334",0.183
"1335",0.184
"1336",0.222
"1337",0.157
"1338",0.129
"1339",0.158
"1340",0.076
"1341",0.144
"1342",0.005
"1343",0.116
"1344",0.038
"1345",0.147
"1346",0.087
"1347",0.121
"1348",0.126
"1349",0.303
"1350",0.08
"1351",0.19
"1352",0.07
"1353",0.041
"1354",0.121
"1355",0.075
"1356",0.091
"1357",0.094
"1358",0.108
"1359",0.059
"1360",0.045
"1361",0.1
"1362",0.111
"1363",0.062
"1364",0.115
"1365",0.114
"1366",0.189
"1367",0.092
"1368",0.234
"1369",0.077
"1370",0.115
"1371",0.119
"1372",0.188
"1373",0.076
"1374",0.041
"1375",0.103
"1376",0.129
"1377",0.029
"1378",0.006
"1379",0.219
"1380",0.013
"1381",0.029
"1382",0.189
"1383",0
"1384",0.135
"1385",0.082
"1386",0.151
"1387",0.031
"1388",0.19
"1389",0.061
"1390",0.111
"1391",0.129
"1392",0.047
"1393",0.041
"1394",0.114
"1395",0.03
"1396",0.234
"1397",0.126
"1398",0.059
"1399",0.029
"1400",0.098
"1401",0.154
"1402",0.06
"1403",0.092
"1404",0.052
"1405",0.345
"1406",0.388
"1407",0.152
"1408",0.181
"1409",0.138
"1410",0.148
"1411",0.168
"1412",0.247
"1413",0.055
"1414",0.121
"1415",0.068
"1416",0.144
"1417",0.116
"1418",0.082
"1419",0.179
"1420",0.145
"1421",0.25
"1422",0.072
"1423",0.091
"1424",0.246
"1425",0.038
"1426",0.129
"1427",0.163
"1428",0.08
"1429",0.04
"1430",0.075
"1431",0.236
"1432",0.015
"1433",0.085
"1434",0.188
"1435",0.014
"1436",0.132
"1437",0.082
"1438",0.005
"1439",0.049
"1440",0.02
"1441",0.05
"1442",0.16
"1443",0.103
"1444",0.113
"1445",0.099
"1446",0.176
"1447",0.015
"1448",0.149
"1449",0.045
"1450",0.145
"1451",0.221
"1452",0.043
"1453",0.116
"1454",0.043
"1455",0.027
"1456",0.072
"1457",0.167
"1458",0.039
"1459",0.01
"1460",0.061
"1461",0.029
"1462",0.04
"1463",0.13
"1464",0.087
"1465",0.062
"1466",0.015
"1467",0.1
"1468",0.123
"1469",0.129
"1470",0.031
"1471",0.011
"1472",0.102
"1473",0.048
"1474",0.064
"1475",0.151
"1476",0.235
"1477",0.123
"1478",0.011
"1479",0.104
"1480",0.167
"1481",0.13
"1482",0.053
"1483",0.054
"1484",0.006
"1485",0.038
"1486",0.018
"1487",0.024
"1488",0.051
"1489",0.142
"1490",0.027
"1491",0.118
"1492",0.068
"1493",0.173
"1494",0.016
"1495",0.049
"1496",0.023
"1497",0
"1498",0.066
"1499",0.166
"1500",0.154
"1501",0.018
"1502",0.16
"1503",0.053
"1504",0.011
"1505",0.048
"1506",0.022
"1507",0.081
"1508",0.236
"1509",0.154
"1510",0.058
"1511",0.05
"1512",0.224
"1513",0.013
"1514",0
"1515",0.154
"1516",0.098
"1517",0.019
"1518",0.009
"1519",0.038
"1520",0
"1521",0.025
"1522",0.131
"1523",0.081
"1524",0.121
"1525",0.05
"1526",0.049
"1527",0.007
"1528",0.038
"1529",0.116
"1530",0.053
"1531",0.211
"1532",0.097
"1533",0.065
"1534",0.04
"1535",0.055
"1536",0.091
"1537",0.01
"1538",0.083
"1539",0.017
"1540",0.042
"1541",0.006
"1542",0.015
"1543",0.147
"1544",0.133
"1545",0.028
"1546",0.007
"1547",0.121
"1548",0.031
"1549",0.013
"1550",0.099
"1551",0.108
"1552",0.054
"1553",0.08
"1554",0.174
"1555",0.01
"1556",0.01
"1557",0
"1558",0.008
"1559",0.137
"1560",0.091
"1561",0.106
"1562",0.046
"1563",0.048
"1564",0.141
"1565",0.12
"1566",0.028
"1567",0.152
"1568",0.07
"1569",0.19
"1570",0.106
"1571",0.112
"1572",0.043
"1573",0.078
"1574",0.159
"1575",0.02
"1576",0.01
"1577",0.023
"1578",0.12
"1579",0.07
"1580",0.134
"1581",0.057
"1582",0.007
"1583",0.037
"1584",0.19
"1585",0.015
"1586",0.025
"1587",0.042
"1588",0.043
"1589",0.026
"1590",0.033
"1591",0.037
"1592",0.023
"1593",0.022
"1594",0.059
"1595",0.078
"1596",0.03
"1597",0.276
"1598",0.121
"1599",0.052
"1600",0.215
"1601",0.053
"1602",0.053
"1603",0.157
"1604",0.157
"1605",0.239
"1606",0.015
"1607",0.012
"1608",0.068
"1609",0.054
"1610",0.055
"1611",0.248
"1612",0.13
"1613",0.078
"1614",0
"1615",0.055
"1616",0.109
"1617",0.061
"1618",0.187
"1619",0.082
"1620",0.013
"1621",0.134
"1622",0.042
"1623",0.234
"1624",0.234
"1625",0.102
"1626",0.076
"1627",0.129
"1628",0.196
"1629",0.035
"1630",0.107
"1631",0.026
"1632",0.053
"1633",0.246
"1634",0.039
"1635",0.216
"1636",0.218
"1637",0.022
"1638",0.188
"1639",0.242
"1640",0.024
"1641",0.242
"1642",0.197
"1643",0.143
"1644",0.072
"1645",0.259
"1646",0.1
"1647",0.249
"1648",0.05
"1649",0.035
"1650",0.12
"1651",0.054
"1652",0.072
"1653",0.064
