"","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4"
"3251",0.2327150084,30800,39000,0.1698412698,9624.65620094192,0.639,0.3831
"3252",0.5441860465,22300,30400,0.1193415638,9624.65620094192,0.387,0.326050843593251
"3253",0.47186444148188,29900,40187.6009768927,0.112368633963963,9624.65620094192,0.543,0.326050843593251
"3254",0.3266761769,25000,33300,0.179656539,9624.65620094192,0.447,0.5217
"3255",0.4461538462,20800,27600,0.096,9624.65620094192,0.304,0.326050843593251
"3256",0.5197072072,40300,53000,0.1946446962,9624.65620094192,0.691,0.4185
"3257",0.5388198758,25200,34600,0.0970245796,9624.65620094192,0.461,0.2308
"3258",0.4841463415,19400,27000,0.0567951318,9624.65620094192,0.291,0.1923
"3259",0.4615384615,24200,31500,0.0496732026,9624.65620094192,0.391,0.0667
"3260",0.367251462,27500,35800,0.1916167665,9624.65620094192,0.509,0.3927
"3261",0.4625779626,32200,42600,0.1729678639,9624.65620094192,0.624,0.1498
"3262",0.4592933948,26500,36100,0.1612903226,9624.65620094192,0.51,0.4049
"3263",0.3585209003,29300,38100,0.1901931649,9624.65620094192,0.58,0.404
"3264",0.5475792988,16700,23800,0.0603566529,9624.65620094192,0.205,0.326050843593251
"3265",0.47186444148188,80700,109200,0.112368633963963,9624.65620094192,0.915,0.326050843593251
"3266",0.3348623853,20800,29000,0.1218487395,9624.65620094192,0.325,0.3069
"3267",0.3970091655,32100,42400,0.1369803695,12661,0.584,0.1511
"3268",0.47186444148188,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.326050843593251
"3269",0.3776840015,31400,40300,0.1578288575,11174,0.602,0.1993
"3270",0.47186444148188,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.326050843593251
"3271",0.3275434243,34600,45500,0.1875,9624.65620094192,0.634,0.5568
"3272",0.5245995423,25300,34200,0.1491183879,7935,0.445,0.326050843593251
"3273",0.5158205311,29600,40400,0.1166573191,9624.65620094192,0.575,0.326050843593251
"3274",0.502283105,19800,28400,0.112368633963963,9624.65620094192,0.365,0.326050843593251
"3275",0.500872905,25700,34200,0.0874927452,8246,0.469,0.326050843593251
"3276",0.47186444148188,32800,40187.6009768927,0.1325301205,9624.65620094192,0.581,0.4906
"3277",0.1124744376,38900,52000,0.142,9624.65620094192,0.707,0.7432
"3278",0.5431826534,26100,35700,0.1201563009,7929,0.48,0.326050843593251
"3279",0.1581508516,34300,42200,0.1870669746,9624.65620094192,0.651,0.7579
"3280",0.4681734317,25500,34300,0.1224322104,7534,0.434,0.326050843593251
"3281",0.2137566138,35400,47600,0.1661661662,9624.65620094192,0.645,0.1749
"3282",0.47186444148188,92200,109000,0.112368633963963,9624.65620094192,0.97,0.326050843593251
"3283",0.4776632302,31200,39600,0.1753846154,9624.65620094192,0.596,0.3068
"3284",0.3068417415,31700,40300,0.1654299433,12404,0.606,0.161
"3285",0.2638982822,40700,51000,0.1565552699,15949,0.698,0.3893
"3286",0.4351606805,28900,37900,0.158719346,7944,0.555,0.2018
"3287",0.47186444148188,35500,47200,0.112368633963963,9624.65620094192,0.675,0.2857
"3288",0.3971265926,30200,41000,0.1101134216,9770,0.555,0.1022
"3289",0.4050324675,33100,42900,0.1911021234,13203,0.634,0.2285
"3290",0.5087209302,24100,33200,0.1151960784,9624.65620094192,0.429,0.1522
"3291",0.3593380615,38000,49900,0.1873638344,9624.65620094192,0.665,0.3981
"3292",0.5714285714,24200,33400,0.112368633963963,6538,0.397,0.326050843593251
"3293",0.4532019704,32700,41000,0.1507311586,9624.65620094192,0.633,0.2127
"3294",0.3272727273,38000,50100,0.1607605877,9624.65620094192,0.67,0.5903
"3295",0.6842105263,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.326050843593251
"3296",0.1300639659,62500,73300,0.1680412371,9624.65620094192,0.81,0.8756
"3297",0.6944444444,15100,40187.6009768927,0.112368633963963,9624.65620094192,0.171,0.326050843593251
"3298",0.4776002096,27300,36800,0.1395673412,7580,0.514,0.326050843593251
"3299",0.582762787,24900,34300,0.112368633963963,3625,0.418,0.326050843593251
"3300",0.6182795699,18300,25100,0.112368633963963,9624.65620094192,0.255,0.326050843593251
"3301",0.2651356994,34500,44800,0.1698612029,9624.65620094192,0.662,0.4488
"3302",0.479338843,34100,47800,0.1242553191,6499,0.572,0.326050843593251
"3303",0.533463469,29500,40200,0.1085910653,6069,0.519,0.326050843593251
"3304",0.419939577,34000,43600,0.1554524362,12717,0.622,0.1439
"3305",0.5,25000,40187.6009768927,0.1642857143,9624.65620094192,0.439,0.2
"3306",0.5744680851,25200,36400,0.0646258503,9624.65620094192,0.445,0.326050843593251
"3307",0.4024793388,29700,39500,0.1110594796,9624.65620094192,0.534,0.2656
"3308",0.2416851441,35800,45500,0.1929460581,9624.65620094192,0.693,0.7201
"3309",0.4598239371,30000,40400,0.1069858713,8404,0.556,0.326050843593251
"3310",0.47186444148188,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.326050843593251
"3311",0.430875576,29569.8983050847,40187.6009768927,0.1759834369,9624.65620094192,0.500679491525424,0.326050843593251
"3312",0.47186444148188,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.326050843593251
"3313",0.47186444148188,79900,95200,0.112368633963963,9624.65620094192,0.962,0.326050843593251
"3314",0.2083228247,40200,53500,0.1535319558,9624.65620094192,0.735,0.5465
"3315",0.5144654088,29400,39200,0.1053197206,7818,0.489,0.326050843593251
"3316",0.4142160095,33800,44800,0.1369187412,11862,0.604,0.326050843593251
"3317",0.5738443158,20800,29200,0.0476985625,9624.65620094192,0.359,0.326050843593251
